"Informed Consent Information  Principal Investigator: Dr. Jessica Clevering Co-Investigators: Myleigh Halmon, Gianna Rizzone, and Wynter O’SullivanFor Students: You are being invited to participate in research to better understand wellbeing among Trinity students, faculty, and staff. The data will be used for institutional assessment and to explore future wellbeing interventions. Questions will include things like basic demographic questions, questions about disabilities and mental health, measures of wellbeing, participation in campus activities, and use of Wellbeing Wednesdays. It will likely take about 15 minutes to complete the survey.For Faculty and Staff: You are being invited to participate in research to better understand wellbeing among Trinity students, faculty, and staff. The data will be used for institutional assessment and to explore future wellbeing interventions. Questions will include things like basic demographic questions, measures of wellbeing, and your view on institutional wellbeing. It will likely take about 15 minutes to complete the survey. The risks associated with this research are no greater than what you may encounter in everyday life. There are no anticipated personal benefits of participating in this research (other than the chance to win a Visa gift card).   Participating in this research is completely voluntary. You may skip any questions. You will not be penalized in any way if you choose not to participate. Your participation in this research is anonymous. IP addresses will not be downloaded, and names will not be collected. If you choose to submit your name for the Visa gift card drawing, your name will not be connected to data.  All data will be kept safe in password-protected institutional cloud drives. If you have any questions, you may contact Dr. Jessica Clevering at 708-239-3962 or Jessica.Clevering@trnty.edu. You may also contact Trinity Christian College’s human subjects review board at IRB@trnty.edu. By clicking the box below you acknowledge that you are at least 18 years old and have read and understood the information provided in this consent form.  ",How would you describe yourself?,What is your age?,What is the highest level of education you have completed?,"Overall, how satisfied are you with life as a whole these days?    ","In general, I consider myself a happy person.","In general, how would you rate your physical health?",How would you rate your overall mental health?   ,"Overall, to what extent do you feel the things you do in your life are worthwhile?",I am doing things now that will help me achieve my goals in life.,"I always act to promote good in all circumstances, even in difficult and challenging situations.",I am always able to give up some happiness now for greater happiness later.,I am content with my friendships and relationships.,I have people in my life I can talk to about things that really matter.,My family has enough money to live a truly decent life.,"How often do you worry about safety, food, or housing?","Are you a student, staff member, or faculty member at Trinity?",Everyone has close relationships within the college.,Everyone is respected within the college.,Everyone in the college trusts one another.,Everyone contributes to the wellbeing of others in the college.,Those in leadership truly care about the wellbeing of everyone in the college.,Those in leadership can be relied on to do what is right.,Those in leadership have the skills and understanding they need to lead the college well.,Those in leadership are able to inspire the college with their vision.,There are structures and practices in the college that allow relationships to become closer.,There are structures and practices in place that allow the college to deal with conflicts so that everyone is treated fairly.,The college has structures and practices so as to be able to sustain itself.,The college has structures and practices that allow it to accomplish its goal.,Everyone is satisfied with the way things are in our college.,Everyone thinks that this college is a good community to be a part of.,Each person has a sense of belonging in the college.,There is a sense of welcome in the college so that it is possible for each person to become more integrated over time.,Our college’s shared purpose or mission is clear to everyone.,Our college contributes to the world to make it a better place.,Everyone is needed for the college to fulfil its goals and purposes.,Our college is able to do more with everyone together than we could individually.
I know that being in this study is voluntary and I choose to be in this study.,Female,,High school diploma or equivalent,8,6,10,6,7,10,5,5,10,8,8,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,30,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",8,8,6,8,9,9,9,9,7,8,7,5,Staff,5,4,1,4,5,6,6,7,4,2,3,4,4,4,4,5,5,6,9,8
I know that being in this study is voluntary and I choose to be in this study.,Male,21,An associate degree,8,9,10,7,9,9,9,6,6,8,9,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,38,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",9,9,9,9,10,8,9,8,10,10,10,8,Staff,3,5,,10,3,5,2,4,7,2,0,2,2,5,5,5,7,9,8,10
I know that being in this study is voluntary and I choose to be in this study.,Female,20,High school diploma or equivalent,8,9,6,8,8,7,8,2,8,10,10,0,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,19,High school diploma or equivalent,6,5,7,5,6,7,7,7,5,9,7,5,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,Some college but no degree,8,8,8,7,9,10,8,7,10,10,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,41,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",8,10,8,7,9,10,9,5,8,10,9,9,Faculty,7,9,8,8,8,8,8,9,8,9,6,9,3,7,6,9,10,9,9,10
I know that being in this study is voluntary and I choose to be in this study.,Female,32,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",8,8,8,8,8,8,8,8,7,9,9,5,Staff,7,7,7,7,8,9,9,9,5,5,5,5,7,9,9,9,9,9,9,9
I know that being in this study is voluntary and I choose to be in this study.,Female,21,Some college but no degree,8,10,8,9,7,8,7,5,8,10,9,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,21,High school diploma or equivalent,7,5,6,7,7,8,6,5,6,10,10,3,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,41,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",7,7,4,7,7,5,8,8,6,10,10,2,Staff,7,7,5,7,8,8,7,8,5,7,,7,7,7,,8,8,9,9,9
I know that being in this study is voluntary and I choose to be in this study.,Female,23,An associate degree,8,7,9,5,9,10,4,7,7,3,7,0,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,29,Some college but no degree,7,10,6,3,8,10,8,8,10,10,8,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,58,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",8,10,8,9,10,9,4,9,9,10,8,9,Faculty,4,2,1,6,2,3,3,3,4,4,7,7,2,6,4,6,6,10,10,10
I know that being in this study is voluntary and I choose to be in this study.,Female,50,Some college but no degree,8,9,5,9,9,8,9,8,9,9,8,5,Staff,7,9,9,8,9,9,9,9,7,8,8,8,8,8,9,9,8,9,10,10
I know that being in this study is voluntary and I choose to be in this study.,Male,30,A bachelor’s degree,7,9,7,7,10,10,10,6,6,5,2,2,Staff,8,5,2,2,3,5,6,8,8,6,7,7,5,8,7,7,6,10,10,10
I know that being in this study is voluntary and I choose to be in this study.,Male,19,High school diploma or equivalent,7,8,7,9,8,7,10,9,8,8,7,4,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,Some college but no degree,10,10,10,10,10,10,10,10,10,10,10,6,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,18,Some college but no degree,6,7,10,7,7,8,6,6,5,7,8,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,Some college but no degree,8,8,9,7,8,10,8,7,9,9,9,2,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,24,Some college but no degree,8,8,9,7,7,10,10,8,7,7,6,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,24,Some college but no degree,8,8,9,3,3,5,10,6,0,1,6,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,Some college but no degree,8,9,9,6,7,9,6,7,9,6,5,0,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,Some college but no degree,7,7,6,6,6,8,8,7,7,4,8,4,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,High school diploma or equivalent,9,8,9,8,8,9,9,8,8,10,9,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,An associate degree,9,9,9,9,9,9,9,9,9,8,9,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,21,An associate degree,6,5,8,5,8,10,6,7,8,3,3,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,An associate degree,8,10,9,9,8,10,10,7,9,10,9,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,21,An associate degree,6,7,7,8,8,6,8,8,8,8,7,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,Some college but no degree,9,9,7,6,8,10,8,10,5,4,7,1,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,An associate degree,7,9,8,5,9,9,9,6,10,9,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,19,High school diploma or equivalent,6,8,9,8,8,8,8,10,9,10,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,Some college but no degree,10,10,10,9,10,8,10,5,10,10,3,3,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,23,Some college but no degree,8,8,10,8,7,10,7,8,10,10,6,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,An associate degree,10,10,7,10,10,10,10,10,7,7,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,High school diploma or equivalent,8,8,9,8,7,8,9,8,9,9,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,21,Some college but no degree,4,5,9,3,4,6,9,8,8,9,5,4,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,21,Some college but no degree,8,8,8,9,7,5,10,10,10,10,6,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,Some college but no degree,6,4,8,4,5,7,6,9,7,10,9,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,Some college but no degree,8,10,9,8,9,10,7,7,7,10,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,High school diploma or equivalent,8,8,8,7,5,9,9,6,9,10,7,6,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,Some college but no degree,7,7,7,8,6,6,10,7,10,8,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,An associate degree,7,9,9,8,7,6,7,10,5,10,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,44,A bachelor’s degree,9,9,7,9,10,9,10,9,9,9,9,2,Staff,8,9,7,9,8,8,8,10,8,8,7,7,6,8,8,10,8,9,10,10
I know that being in this study is voluntary and I choose to be in this study.,Male,19,High school diploma or equivalent,10,10,10,10,9,10,9,8,10,10,9,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,26,An associate degree,7,7,6,7,8,8,8,6,8,7,6,6,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,Some college but no degree,7,10,6,9,7,8,5,8,9,10,7,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,Some college but no degree,5,10,10,5,7,9,4,4,5,5,4,6,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,49,A bachelor’s degree,8,8,8,9,9,10,10,10,8,9,7,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,22,A bachelor’s degree,8,6,9,7,10,10,6,5,10,10,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,63,A bachelor’s degree,7,8,3,5,10,8,,8,10,10,5,5,Staff,3,3,2,8,5,2,2,3,3,5,2,3,5,4,4,4,0,6,10,10
I know that being in this study is voluntary and I choose to be in this study.,Female,19,High school diploma or equivalent,3,7,8,4,5,6,7,5,9,8,6,1,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,47,A bachelor’s degree,8,10,7,8,10,10,10,10,10,10,9,6,Staff,7,10,7,7,10,10,10,10,7,4,6,7,3,8,7,9,8,10,10,10
I know that being in this study is voluntary and I choose to be in this study.,Male,51,Some college but no degree,7,5,5,7,8,5,6,7,8,9,3,7,Staff,7,0,5,2,2,1,1,1,1,1,1,1,2,3,3,6,8,5,5,5
I know that being in this study is voluntary and I choose to be in this study.,Female,22,Some college but no degree,7,7,7,7,8,7,6,6,10,10,7,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,27,Some college but no degree,6,4,8,7,5,8,7,6,4,5,10,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,21,High school diploma or equivalent,6,6,5,5,5,5,8,6,8,7,8,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,24,An associate degree,8,8,5,5,8,10,6,7,10,10,9,0,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,22,A bachelor’s degree,10,10,9,10,10,10,10,8,10,10,7,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,19,High school diploma or equivalent,8,9,10,9,9,8,9,9,8,10,5,6,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,19,A bachelor’s degree,4,1,3,5,5,4,3,3,6,4,3,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,21,High school diploma or equivalent,8,10,10,8,8,8,8,8,9,10,9,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,19,Some college but no degree,5,6,9,6,5,7,6,7,5,3,7,3,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,Some college but no degree,9,5,5,4,9,8,9,10,6,10,8,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,19,Some college but no degree,7,7,8,6,8,7,6,5,8,10,8,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,An associate degree,7,9,8,7,10,10,8,8,8,8,8,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,19,Some college but no degree,10,10,7,10,10,10,3,10,7,7,7,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,19,High school diploma or equivalent,8,8,8,7,10,8,7,9,5,10,8,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,35,An associate degree,10,9,9,9,9,9,9,9,9,9,8,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,22,An associate degree,7,6,5,6,7,8,6,6,9,9,7,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,19,Some college but no degree,6,6,4,4,4,4,4,5,5,3,4,2,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,Some college but no degree,6,4,5,3,7,6,5,10,3,8,10,4,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,22,Some college but no degree,5,6,5,4,6,7,8,5,5,8,5,6,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,Some college but no degree,9,10,7,9,10,10,9,6,9,9,10,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,Some college but no degree,7,8,7,5,8,8,8,7,8,10,5,6,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,23,Some college but no degree,4,5,3,3,3,9,6,9,2,2,8,1,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,21,High school diploma or equivalent,8,9,6,7,7,8,10,9,9,10,4,3,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,23,An associate degree,6,6,7,7,7,6,9,7,7,10,6,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,43,A bachelor’s degree,7,6,3,7,5,5,5,5,5,5,5,0,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,34,A bachelor’s degree,10,10,10,10,10,10,10,9,10,10,10,10,Staff,9,10,9,10,10,10,10,10,10,9,9,10,8,10,9,10,9,10,10,10
I know that being in this study is voluntary and I choose to be in this study.,Female,22,Some college but no degree,9,9,6,7,9,8,9,8,7,10,7,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,21,High school diploma or equivalent,10,10,9,9,9,10,9,,10,,9,6,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,21,A bachelor’s degree,7,6,6,6,7,7,7,7,7,8,7,5,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,Some college but no degree,8,9,7,8,9,7,8,10,10,9,4,5,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,Some college but no degree,9,9,6,8,9,8,8,8,7,9,7,5,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,24,An associate degree,7,9,8,7,7,10,9,8,7,10,10,0,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,Some college but no degree,7,5,6,6,6,6,5,2,9,6,2,1,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,21,Some college but no degree,7,7,10,7,8,7,10,10,10,10,10,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,21,A bachelor’s degree,5,4,4,4,6,3,5,1,9,2,2,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,23,An associate degree,7,8,8,6,5,8,7,7,5,5,5,5,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,23,High school diploma or equivalent,10,3,10,8,8,5,8,8,8,8,8,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,,Some college but no degree,8,8,9,8,7,6,7,9,8,7,9,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,High school diploma or equivalent,7,6,8,7,8,9,7,8,8,10,9,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,High school diploma or equivalent,7,7,9,7,7,9,6,10,8,10,7,6,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,23,A bachelor’s degree,7,8,8,9,6,7,8,10,10,10,10,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,73,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",8,6,7,8,9,9,8,9,9,9,7,8,Faculty,6,7,7,7,8,7,6,8,9,7,8,7,6,8,7,8,6,7,8,10
I know that being in this study is voluntary and I choose to be in this study.,Female,20,Some college but no degree,9,8,7,8,8,8,8,6,6,6,7,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,Some college but no degree,7,7,8,6,5,7,6,6,5,10,8,6,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,21,Some college but no degree,10,8,7,7,9,10,10,9,6,10,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,21,High school diploma or equivalent,7,8,9,8,10,10,9,8,10,10,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,,High school diploma or equivalent,5,8,5,6,10,10,10,7,9,10,5,5,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,19,Some college but no degree,10,10,10,10,10,10,10,4,10,10,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,19,High school diploma or equivalent,8,6,8,7,9,9,3,5,8,10,9,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,22,Some college but no degree,5,5,6,3,5,6,8,5,4,4,5,5,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,23,A bachelor’s degree,10,9,8,8,9,9,8,9,9,9,7,9,Staff,8,8,8,9,10,10,10,10,9,9,9,10,8,9,9,10,9,10,10,10
I know that being in this study is voluntary and I choose to be in this study.,Male,18,Some college but no degree,5,8,7,4,8,6,10,7,3,10,5,3,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,21,Some college but no degree,7,9,8,7,6,6,8,10,7,10,10,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,22,Some college but no degree,4,5,3,4,6,7,5,4,4,8,,2,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,High school diploma or equivalent,7,6,5,5,7,10,8,6,10,10,8,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,19,High school diploma or equivalent,9,9,4,9,10,8,8,9,9,10,7,9,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,19,High school diploma or equivalent,10,7,6,10,10,9,7,9,10,10,4,8,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,,,,7,8,8,9,9,10,9,7,7,8,3,5,Staff,0,0,0,0,0,0,0,0,4,0,0,5,0,0,0,0,5,5,5,5
I know that being in this study is voluntary and I choose to be in this study.,Female,50,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",8,9,8,7,9,8,8,8,9,10,8,10,Staff,5,8,7,7,8,7,7,8,7,7,7,7,7,9,7,7,7,8,8,8
I know that being in this study is voluntary and I choose to be in this study.,Female,44,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",8,8,7,8,8,9,7,7,7,9,10,9,Faculty,6,8,7,7,9,8,8,7,8,7,8,8,4,7,7,8,8,9,10,10
I know that being in this study is voluntary and I choose to be in this study.,Female,23,A bachelor’s degree,7,9,5,6,7,6,5,5,7,8,8,6,Staff,5,8,6,5,5,7,7,6,6,6,5,6,5,7,6,7,5,6,8,8
I know that being in this study is voluntary and I choose to be in this study.,Female,35,An associate degree,9,9,4,9,8,8,9,4,9,10,5,4,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,48,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",4,5,2,4,6,4,9,6,3,6,9,10,Faculty,4,4,2,3,2,1,0,0,5,2,3,3,4,4,4,5,2,2,7,7
I know that being in this study is voluntary and I choose to be in this study.,Male,49,,9,10,9,9,9,10,9,8,6,6,9,10,Staff,3,2,1,4,10,10,10,10,4,2,1,4,2,6,1,1,1,10,8,10
I know that being in this study is voluntary and I choose to be in this study.,Female,41,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",6,7,7,6,7,10,10,7,6,10,9,10,Faculty,6,6,6,6,7,8,8,8,5,6,6,6,6,8,7,6,8,8,8,8
I know that being in this study is voluntary and I choose to be in this study.,Female,18,Some college but no degree,7,9,9,9,9,10,9,9,8,10,7,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,20,High school diploma or equivalent,10,10,10,10,10,10,10,10,10,10,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,28,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",9,10,7,10,8,10,9,10,10,10,9,8,Faculty,0,0,0,0,2,4,6,4,4,7,7,7,7,9,9,10,10,10,10,10
I know that being in this study is voluntary and I choose to be in this study.,Male,21,A bachelor’s degree,8,8,8,8,9,10,10,9,9,9,7,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,21,Some college but no degree,7,8,7,5,7,10,5,4,9,9,10,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,50,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",9,9,7,8,9,10,9,8,8,9,9,10,Faculty,0,0,0,0,1,1,1,1,2,0,1,1,0,0,0,0,1,3,5,5
I know that being in this study is voluntary and I choose to be in this study.,Male,54,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",9,9,5,6,9,3,10,4,4,6,0,3,Faculty,2,9,2,2,10,10,10,10,6,10,9,9,2,10,6,7,2,10,1,10
I know that being in this study is voluntary and I choose to be in this study.,Female,29,A bachelor’s degree,8,8,8,7,9,7,9,7,7,10,5,8,Staff,2,2,1,1,1,1,1,1,2,1,1,1,0,0,0,2,2,5,6,8
I know that being in this study is voluntary and I choose to be in this study.,Male,18,High school diploma or equivalent,6,6,6,6,5,6,6,10,4,7,5,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,21,Some college but no degree,10,8,6,8,8,10,8,8,8,10,8,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,45,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",8,8,9,9,9,10,8,8,8,10,8,8,Faculty,8,10,8,8,8,8,8,8,10,10,8,8,8,9,8,8,8,10,10,10
I know that being in this study is voluntary and I choose to be in this study.,Female,21,High school diploma or equivalent,5,3,1,2,5,10,6,4,3,2,9,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,49,A bachelor’s degree,8,10,7,9,10,10,10,10,9,5,9,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,,An associate degree,6,8,8,8,8,8,8,8,8,8,8,3,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,39,"A postgraduate degree (such as a master’s degree, professional degree, or doctoral degree)",8,9,8,8,8,8,8,8,8,8,8,9,Faculty,7,7,7,7,7,7,7,7,8,8,7,7,7,7,6,8,7,7,8,8
I know that being in this study is voluntary and I choose to be in this study.,Male,19,Some college but no degree,6,5,9,7,6,9,7,8,7,3,6,2,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,22,Some college but no degree,7,5,7,6,5,7,7,8,6,10,10,7,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Female,18,High school diploma or equivalent,8,9,8,7,8,9,9,7,8,10,9,10,Student,,,,,,,,,,,,,,,,,,,,
I know that being in this study is voluntary and I choose to be in this study.,Male,20,Some college but no degree,8,5,5,4,7,8,5,7,4,2,4,3,Student,,,,,,,,,,,,,,,,,,,,
